listing_id,neighborhood,room_type,stay_nights
61332,Queens,Entire home,3.12
30831,Brooklyn,Entire home,5.28
10099,Queens,Entire home,6.59
67768,Bronx,Private room,4.5
4617,Manhattan,Private room,2.01
35237,Brooklyn,Private room,4.06
79193,Bronx,Entire home,4.43
42114,Bronx,Private room,1.53
76574,Brooklyn,Entire home,4.32
93901,Bronx,Entire home,7.28
95297,Brooklyn,Entire home,3.1
10171,Queens,Private room,2.97
40363,Staten Island,Entire home,3.4
54528,Queens,Entire home,4.13
56108,Bronx,Private room,4.5
23810,Staten Island,Private room,1
40829,Queens,Entire home,7.14
77019,Staten Island,Private room,1.39
29010,Staten Island,Entire home,5.09
97463,Brooklyn,Private room,2.88
82167,Queens,Entire home,8.11
99453,Brooklyn,Private room,3.71
4201,Manhattan,Entire home,6.14
63277,Staten Island,Private room,5.36
83544,Staten Island,Entire home,5.64
92272,Bronx,Entire home,4.64
1726,Manhattan,Private room,6.42
29683,Brooklyn,Private room,2.75
74060,Brooklyn,Shared room,1
16906,Bronx,Entire home,1.5
74259,Staten Island,Entire home,5.18
99992,Bronx,Private room,3.05
72810,Bronx,Private room,1.17
98472,Bronx,Entire home,4.55
37347,Staten Island,Entire home,1
32358,Queens,Entire home,4.09
45020,Queens,Private room,2.08
11561,Brooklyn,Entire home,3.43
29043,Manhattan,Entire home,5.47
44369,Staten Island,Entire home,8.87
52049,Staten Island,Shared room,3.58
3560,Staten Island,Entire home,6.83
99759,Bronx,Private room,3.57
55921,Staten Island,Private room,1
29906,Bronx,Entire home,3.53
58125,Bronx,Entire home,2.56
53994,Brooklyn,Private room,6.08
17728,Staten Island,Private room,5.73
87900,Manhattan,Entire home,2.65
57179,Brooklyn,Private room,4.15
43906,Brooklyn,Entire home,6.26
45236,Bronx,Entire home,6.99
11735,Bronx,Entire home,3.71
71702,Manhattan,Shared room,1.22
86426,Manhattan,Private room,5.85
33411,Brooklyn,Private room,2.43
63070,Manhattan,Private room,2.48
29569,Bronx,Private room,3.63
80593,Manhattan,Private room,2.29
22465,Queens,Entire home,6.63
89781,Bronx,Entire home,4.85
94718,Brooklyn,Entire home,3.22
14356,Queens,Private room,1
79697,Manhattan,Private room,2.97
70827,Bronx,Private room,3.27
10038,Staten Island,Private room,5.58
65251,Manhattan,Entire home,4.71
48472,Bronx,Private room,1
86256,Queens,Private room,4.78
71539,Bronx,Entire home,6.03
43245,Brooklyn,Private room,1.12
12359,Queens,Private room,3.59
80997,Bronx,Entire home,7.29
65789,Queens,Entire home,5.55
45608,Queens,Private room,6.98
92905,Queens,Private room,2.2
32635,Bronx,Entire home,4.33
32499,Bronx,Private room,1
13196,Queens,Entire home,4.76
91673,Brooklyn,Entire home,2.03
70588,Queens,Entire home,3.11
98771,Staten Island,Entire home,3.92
33951,Brooklyn,Entire home,2.6
26242,Queens,Entire home,1
25267,Brooklyn,Entire home,3.55
64464,Queens,Private room,5.91
38093,Manhattan,Private room,3.14
39829,Brooklyn,Entire home,3.23
17591,Queens,Entire home,8.21
8146,Staten Island,Entire home,7.85
99669,Bronx,Entire home,3.27
2607,Staten Island,Entire home,2.24
7734,Queens,Shared room,2.68
63616,Manhattan,Private room,2.86
83502,Manhattan,Entire home,5.07
74772,Queens,Entire home,4.54
55548,Staten Island,Private room,6.06
82057,Brooklyn,Private room,1
39974,Staten Island,Shared room,4.74
41026,Staten Island,Private room,1
28235,Brooklyn,Entire home,1.89
11641,Brooklyn,Entire home,3.12
54545,Bronx,Private room,3.13
62592,Queens,Entire home,4.02
60510,Manhattan,Private room,5.08
35675,Staten Island,Private room,5.42
72376,Brooklyn,Private room,2.65
35816,Brooklyn,Entire home,5.58
99167,Staten Island,Shared room,3.61
58560,Manhattan,Entire home,3.65
36683,Staten Island,Private room,5.41
58377,Manhattan,Private room,6.0
80129,Queens,Entire home,1.89
31005,Staten Island,Private room,6.87
36325,Staten Island,Entire home,5.05
23962,Bronx,Private room,1.99
77720,Bronx,Private room,4.07
65451,Manhattan,Entire home,2.65
14710,Brooklyn,Entire home,5.7
91921,Bronx,Entire home,8.81
73102,Manhattan,Entire home,2.95
42224,Queens,Entire home,7.0
68449,Manhattan,Private room,3.12
72118,Bronx,Entire home,5.41
66338,Bronx,Private room,5.25
27680,Queens,Private room,5.43
92521,Bronx,Entire home,3.32
83578,Staten Island,Private room,3.07
2792,Staten Island,Entire home,2.41
30451,Manhattan,Entire home,7.99
66323,Queens,Private room,6.04
36838,Bronx,Private room,4.98
73255,Brooklyn,Entire home,4.27
79561,Staten Island,Private room,4.0
55387,Queens,Shared room,2.93
67550,Queens,Private room,3.15
77931,Staten Island,Shared room,3.74
65178,Brooklyn,Entire home,2.26
72228,Bronx,Entire home,4.72
43176,Brooklyn,Shared room,2.6
54841,Manhattan,Entire home,6.95
62993,Bronx,Entire home,2.11
20936,Bronx,Shared room,1
17547,Staten Island,Shared room,2.16
58711,Manhattan,Private room,4.3
60890,Manhattan,Private room,1.04
21232,Manhattan,Entire home,6.45
35737,Queens,Private room,2.85
44065,Staten Island,Entire home,5.11
42505,Bronx,Private room,4.23
83727,Queens,Shared room,2.63
98880,Manhattan,Entire home,7.39
14173,Bronx,Entire home,6.55
40251,Manhattan,Entire home,5.1
50131,Bronx,Entire home,2.5
70621,Bronx,Private room,3.82
11350,Staten Island,Private room,2.32
82226,Brooklyn,Entire home,2.93
84611,Queens,Entire home,3.59
88404,Manhattan,Private room,1.89
72643,Brooklyn,Entire home,4.95
46293,Staten Island,Entire home,8.22
60878,Queens,Entire home,3.6
51422,Bronx,Entire home,2.77
39780,Queens,Entire home,6.1
87275,Bronx,Entire home,1.02
98605,Manhattan,Shared room,1.58
98671,Bronx,Private room,6.33
31162,Staten Island,Private room,1.52
29705,Brooklyn,Private room,2.1
87400,Brooklyn,Private room,1
83242,Manhattan,Entire home,1.43
96991,Brooklyn,Entire home,5.7
39680,Queens,Private room,3.98
71701,Queens,Private room,4.45
36720,Brooklyn,Entire home,5.8
39684,Queens,Private room,1.45
62385,Manhattan,Entire home,9.35
95924,Bronx,Shared room,1.88
74048,Queens,Entire home,2.95
17199,Bronx,Entire home,5.71
99174,Queens,Private room,5.59
15201,Brooklyn,Entire home,1
82205,Staten Island,Entire home,1.72
84283,Bronx,Shared room,1.12
40608,Bronx,Entire home,5.16
65569,Manhattan,Entire home,4.69
71457,Brooklyn,Entire home,1
92289,Staten Island,Entire home,8.92
98290,Brooklyn,Private room,1.37
81694,Bronx,Shared room,1
37666,Manhattan,Private room,3.94
31947,Queens,Entire home,7.15
90873,Queens,Private room,5.37
53184,Queens,Entire home,4.17
17011,Bronx,Entire home,5.34
3799,Manhattan,Private room,6.28
32925,Brooklyn,Private room,4.55
73641,Brooklyn,Private room,7.12
31539,Queens,Private room,4.15
37342,Brooklyn,Shared room,1
71807,Queens,Private room,6.59
18275,Manhattan,Entire home,7.7
32186,Staten Island,Entire home,4.88
98218,Bronx,Private room,4.08
98735,Manhattan,Entire home,5.03
15293,Bronx,Private room,1.14
81623,Manhattan,Private room,5.96
40535,Bronx,Private room,1.91
5082,Manhattan,Shared room,3.41
15150,Bronx,Private room,1.77
59138,Manhattan,Private room,3.0
17540,Queens,Private room,4.52
77724,Staten Island,Private room,1.52
39652,Bronx,Private room,5.34
57387,Manhattan,Private room,5.69
73264,Brooklyn,Entire home,6.9
30949,Bronx,Entire home,2.02
13463,Queens,Entire home,5.25
88177,Queens,Entire home,7.75
9799,Manhattan,Private room,7.21
13219,Bronx,Entire home,4.18
73924,Manhattan,Private room,1
74608,Staten Island,Entire home,6.18
88207,Bronx,Private room,4.8
95510,Manhattan,Shared room,1.37
76748,Staten Island,Entire home,3.13
87079,Bronx,Entire home,8.26
49176,Manhattan,Private room,5.93
76248,Brooklyn,Private room,6.55
82490,Staten Island,Private room,1
73972,Manhattan,Private room,1.82
4794,Brooklyn,Entire home,1.28
41499,Queens,Entire home,5.08
87159,Bronx,Entire home,5.76
98120,Manhattan,Entire home,2.12
60460,Queens,Entire home,4.04
41846,Queens,Private room,2.73
7895,Brooklyn,Entire home,4.07
81981,Manhattan,Private room,3.09
64656,Staten Island,Entire home,8.15
36804,Brooklyn,Private room,5.1
38125,Staten Island,Entire home,6.24
88442,Queens,Entire home,1.82
2007,Brooklyn,Entire home,6.57
28686,Brooklyn,Private room,3.25
66193,Bronx,Entire home,5.73
50834,Staten Island,Private room,1
47421,Manhattan,Entire home,4.49
98260,Manhattan,Entire home,3.53
42033,Staten Island,Entire home,4.75
54008,Bronx,Entire home,1
23527,Staten Island,Entire home,8.16
91388,Queens,Entire home,5.54
78184,Bronx,Private room,2.26
52873,Queens,Private room,4.12
11011,Staten Island,Private room,6.92
70547,Staten Island,Entire home,4.88
85599,Brooklyn,Entire home,2.21
20194,Queens,Entire home,1.12
86918,Manhattan,Entire home,1.97
83306,Bronx,Entire home,1.47
90277,Staten Island,Private room,2.47
82857,Queens,Private room,2.7
9950,Bronx,Entire home,3.47
40691,Queens,Private room,3.03
61521,Bronx,Entire home,5.29
49331,Queens,Entire home,7.73
81610,Staten Island,Private room,1
61648,Staten Island,Private room,4.6
59947,Staten Island,Private room,1
43143,Staten Island,Entire home,5.02
14566,Queens,Shared room,2.94
12053,Staten Island,Private room,6.54
58595,Staten Island,Private room,4.26
21807,Queens,Entire home,3.97
45350,Staten Island,Entire home,7.01
83691,Queens,Entire home,7.62
38243,Queens,Private room,5.19
87057,Staten Island,Private room,2.18
19537,Queens,Entire home,7.36
86990,Bronx,Entire home,4.23
74259,Bronx,Private room,2.69
44054,Brooklyn,Private room,5.06
90838,Staten Island,Entire home,1
88878,Bronx,Private room,5.21
29074,Queens,Shared room,2.65
64736,Brooklyn,Entire home,5.15
14256,Staten Island,Private room,4.11
97815,Staten Island,Entire home,2.29
18176,Staten Island,Entire home,8.14
22266,Brooklyn,Private room,3.98
22697,Bronx,Entire home,1
48749,Brooklyn,Shared room,1
59841,Brooklyn,Private room,1.36
41562,Bronx,Shared room,3.28
75766,Bronx,Entire home,8.03
37932,Bronx,Private room,2.46
27174,Staten Island,Entire home,5.23
33768,Manhattan,Private room,5.29
14446,Staten Island,Private room,1.69
38363,Manhattan,Private room,2.88
20313,Bronx,Entire home,9.87
30102,Bronx,Private room,5.38
52964,Staten Island,Entire home,3.4
51615,Manhattan,Entire home,10.19
94677,Queens,Private room,4.31
19035,Manhattan,Entire home,6.35
19191,Bronx,Entire home,1.12
1688,Manhattan,Entire home,4.8
96320,Staten Island,Private room,4.61
15573,Queens,Entire home,5.83
84748,Staten Island,Entire home,5.78
15530,Bronx,Private room,5.89
32711,Brooklyn,Entire home,4.81
1205,Staten Island,Entire home,3.05
88584,Manhattan,Private room,2.95
48265,Manhattan,Shared room,1
67535,Staten Island,Entire home,3.3
62621,Manhattan,Private room,5.02
3128,Queens,Private room,3.32
46193,Brooklyn,Private room,1.12
97362,Queens,Entire home,1.4
47176,Staten Island,Entire home,1.56
90742,Bronx,Shared room,1
63722,Brooklyn,Private room,6.69
60988,Manhattan,Entire home,6.17
6741,Brooklyn,Private room,2.81
53196,Staten Island,Entire home,6.47
5799,Brooklyn,Entire home,5.01
86948,Queens,Entire home,3.9
49237,Bronx,Private room,3.32
51678,Queens,Shared room,1
66038,Bronx,Entire home,5.08
11828,Bronx,Entire home,2.62
79964,Brooklyn,Private room,3.15
87628,Queens,Entire home,5.42
79986,Bronx,Entire home,1.95
96265,Queens,Private room,4.25
58008,Queens,Private room,3.68
88973,Bronx,Entire home,3.67
99290,Brooklyn,Shared room,3.78
58432,Manhattan,Entire home,7.17
31932,Queens,Entire home,5.11
21111,Bronx,Shared room,2.38
49760,Bronx,Private room,1.3
53171,Queens,Private room,2.4
33717,Manhattan,Entire home,5.68
74619,Manhattan,Entire home,7.28
35116,Bronx,Entire home,1.56
65382,Brooklyn,Entire home,2.01
10706,Bronx,Entire home,2.54
90381,Queens,Private room,1
94000,Manhattan,Private room,3.08
21644,Brooklyn,Private room,5.14
67683,Brooklyn,Entire home,4.91
65752,Manhattan,Entire home,5.8
76009,Queens,Entire home,5.81
12300,Manhattan,Entire home,4.36
94969,Bronx,Private room,3.95
10666,Brooklyn,Shared room,1
85192,Manhattan,Entire home,3.52
73260,Staten Island,Entire home,2.42
17912,Bronx,Private room,6.05
68908,Brooklyn,Entire home,1.03
22229,Queens,Shared room,3.06
69012,Queens,Private room,8.3
33847,Brooklyn,Private room,2.52
40691,Staten Island,Private room,3.18
66873,Brooklyn,Private room,2.43
82851,Staten Island,Entire home,3.76
74874,Manhattan,Private room,4.1
85076,Staten Island,Entire home,4.64
28631,Staten Island,Entire home,2.61
83203,Staten Island,Entire home,2.25
40596,Bronx,Entire home,5.4
60446,Manhattan,Private room,1.59
21719,Bronx,Entire home,2.28
19830,Queens,Private room,3.9
42853,Queens,Shared room,3.48
74616,Manhattan,Entire home,6.26
62141,Manhattan,Entire home,4.51
39038,Bronx,Private room,4.4
55805,Brooklyn,Shared room,4.75
76718,Queens,Entire home,1.86
21885,Bronx,Shared room,1
66191,Manhattan,Entire home,5.56
52543,Staten Island,Entire home,4.69
7377,Manhattan,Entire home,7.8
79317,Bronx,Entire home,5.69
18555,Queens,Private room,3.55
53855,Queens,Entire home,7.55
48516,Staten Island,Entire home,5.51
51639,Staten Island,Entire home,1
82689,Staten Island,Entire home,3.06
13672,Bronx,Entire home,7.68
48920,Brooklyn,Entire home,4.24
67731,Bronx,Private room,4.54
44652,Bronx,Private room,3.8
20521,Staten Island,Private room,6.46
42750,Brooklyn,Entire home,8.95
81805,Queens,Private room,1.11
65205,Staten Island,Entire home,4.36
3180,Queens,Entire home,6.5
41327,Manhattan,Private room,4.82
35803,Staten Island,Private room,3.03
23349,Staten Island,Private room,1
82230,Bronx,Entire home,4.23
92818,Manhattan,Entire home,3.93
58807,Queens,Entire home,3.06
66774,Staten Island,Shared room,3.03
97447,Manhattan,Private room,1
87799,Bronx,Private room,3.2
42124,Brooklyn,Entire home,1.42
89587,Queens,Private room,2.98
26200,Brooklyn,Entire home,2.71
40008,Queens,Private room,8.05
91471,Bronx,Entire home,1.11
95589,Queens,Entire home,9.24
76166,Staten Island,Entire home,9.08
20198,Queens,Entire home,3.93
94603,Manhattan,Entire home,2.7
63793,Brooklyn,Entire home,5.18
71592,Queens,Shared room,2.23
81698,Staten Island,Entire home,3.22
7653,Staten Island,Entire home,4.62
44292,Bronx,Entire home,5.64
19018,Manhattan,Shared room,3.37
86575,Bronx,Entire home,4.3
27143,Queens,Entire home,1.18
12725,Staten Island,Entire home,1
97821,Manhattan,Shared room,3.91
24040,Manhattan,Shared room,5.27
53034,Bronx,Entire home,4.47
38941,Manhattan,Entire home,1
75443,Staten Island,Entire home,6.53
85058,Staten Island,Private room,3.33
18589,Staten Island,Entire home,4.93
22298,Bronx,Private room,4.42
95188,Brooklyn,Entire home,3.41
89395,Brooklyn,Entire home,6.29
84719,Bronx,Private room,2.65
88720,Manhattan,Entire home,4.4
19430,Bronx,Entire home,4.52
31870,Bronx,Private room,5.05
44204,Queens,Private room,2.1
48127,Brooklyn,Entire home,3.64
16495,Bronx,Entire home,2.05
93216,Queens,Private room,4.82
84717,Queens,Entire home,5.64
63676,Brooklyn,Entire home,10.67
80395,Queens,Entire home,1.81
71453,Brooklyn,Private room,2.81
90173,Staten Island,Private room,5.39
93244,Queens,Entire home,5.84
74946,Manhattan,Entire home,1.67
76065,Staten Island,Entire home,3.62
44007,Staten Island,Entire home,2.82
65071,Manhattan,Private room,1
59390,Manhattan,Entire home,1.75
8567,Staten Island,Entire home,4.27
41392,Manhattan,Entire home,6.18
76800,Manhattan,Entire home,1
46158,Manhattan,Private room,7.44
62875,Manhattan,Entire home,6.46
24590,Brooklyn,Private room,6.36
56097,Queens,Shared room,2.21
51132,Bronx,Private room,5.12
90486,Staten Island,Entire home,3.16
46582,Manhattan,Entire home,1.52
96401,Brooklyn,Private room,2.93
3979,Queens,Entire home,3.99
50712,Brooklyn,Entire home,1.92
46371,Brooklyn,Entire home,8.21
15790,Manhattan,Private room,2.27
55950,Staten Island,Private room,3.76
28011,Manhattan,Entire home,4.2
5400,Bronx,Private room,3.32
98064,Manhattan,Entire home,3.74
31715,Staten Island,Entire home,5.06
67046,Queens,Entire home,3.86
96881,Staten Island,Entire home,1.45
43030,Brooklyn,Entire home,2.34
19777,Staten Island,Entire home,4.22
78550,Brooklyn,Private room,4.17
56994,Staten Island,Entire home,10.37
88994,Bronx,Private room,2.67
42777,Bronx,Entire home,4.01
71507,Bronx,Entire home,6.02
30536,Queens,Private room,4.87
8552,Staten Island,Entire home,6.7
55592,Staten Island,Private room,2.33
44288,Manhattan,Shared room,3.24
49637,Manhattan,Private room,3.81
50436,Staten Island,Private room,2.93
10539,Brooklyn,Private room,1
29444,Bronx,Entire home,2.55
44642,Queens,Shared room,6.01
98186,Manhattan,Private room,3.95
99871,Bronx,Shared room,1.72
52987,Brooklyn,Private room,1
38101,Bronx,Entire home,3.22
48139,Staten Island,Private room,2.12
62080,Manhattan,Private room,2.92
42973,Brooklyn,Entire home,1
55254,Manhattan,Private room,3.7
35180,Staten Island,Shared room,3.33
76909,Bronx,Entire home,5.1
75683,Brooklyn,Entire home,6.21
86800,Queens,Entire home,7.33
85108,Bronx,Entire home,1
97045,Queens,Entire home,3.96
72058,Manhattan,Private room,1.22
10742,Manhattan,Private room,1
31334,Manhattan,Private room,5.51
2198,Brooklyn,Private room,1.56
88392,Staten Island,Shared room,3.99
87413,Bronx,Entire home,1.98
3192,Staten Island,Private room,3.09
71220,Queens,Entire home,5.95
24496,Manhattan,Shared room,1
69732,Brooklyn,Entire home,3.11
47457,Queens,Private room,2.46
11357,Queens,Shared room,1.42
92388,Brooklyn,Entire home,4.98
11566,Manhattan,Entire home,2.2
8355,Manhattan,Private room,5.25
11837,Bronx,Private room,2.4
13499,Staten Island,Shared room,1.44
31115,Brooklyn,Shared room,1.81
36532,Manhattan,Shared room,1
90709,Queens,Private room,3.02
42220,Manhattan,Shared room,2.35
77943,Brooklyn,Private room,3.03
11084,Queens,Entire home,2.05
32519,Staten Island,Private room,1
44480,Bronx,Private room,6.23
19343,Manhattan,Private room,4.16
58290,Brooklyn,Private room,3.39
45642,Staten Island,Private room,5.43
43778,Manhattan,Private room,2.94
60054,Bronx,Entire home,2.21
25345,Staten Island,Private room,2.87
12232,Staten Island,Entire home,4.52
36123,Brooklyn,Entire home,5.48
84086,Brooklyn,Private room,3.11
1680,Queens,Entire home,5.58
36358,Manhattan,Entire home,5.55
73710,Staten Island,Entire home,7.02
4442,Manhattan,Entire home,7.31
43523,Bronx,Entire home,6.36
55238,Bronx,Private room,3.1
32816,Staten Island,Private room,1
90825,Bronx,Entire home,4.27
20127,Manhattan,Entire home,6.46
37170,Bronx,Entire home,4.98
33321,Bronx,Private room,1.65
26630,Bronx,Entire home,2.45
44544,Staten Island,Entire home,10.24
44193,Bronx,Entire home,6.48
78908,Brooklyn,Entire home,1
80064,Brooklyn,Entire home,5.61
42830,Queens,Private room,5.31
83955,Bronx,Shared room,2.77
37739,Bronx,Entire home,2.32
74905,Brooklyn,Private room,1
73102,Manhattan,Shared room,1.86
61505,Brooklyn,Entire home,3.51
54627,Bronx,Entire home,8.21
40692,Brooklyn,Entire home,5.99
50412,Manhattan,Entire home,6.66
79372,Bronx,Private room,1
91663,Bronx,Private room,2.53
48124,Staten Island,Private room,4.33
33536,Queens,Entire home,3.88
81304,Manhattan,Private room,1.73
99655,Queens,Shared room,1
57420,Manhattan,Entire home,4.34
68999,Staten Island,Private room,5.89
76397,Brooklyn,Entire home,1.17
78147,Staten Island,Entire home,7.22
4219,Bronx,Entire home,1
16213,Brooklyn,Entire home,7.72
45966,Bronx,Private room,1.67
13795,Bronx,Private room,3.26
60303,Queens,Entire home,8.28
3960,Queens,Private room,4.37
89754,Brooklyn,Shared room,2.39
73339,Brooklyn,Entire home,1.49
56885,Bronx,Entire home,3.18
84948,Bronx,Entire home,5.4
97650,Staten Island,Private room,1.49
1583,Brooklyn,Entire home,5.33
99608,Manhattan,Private room,4.26
48945,Queens,Entire home,1.55
15936,Queens,Private room,1
42078,Staten Island,Entire home,4.93
52451,Staten Island,Entire home,2.85
23613,Queens,Shared room,3.83
78354,Manhattan,Private room,2.93
16328,Brooklyn,Entire home,6.2
19528,Staten Island,Entire home,1.81
56448,Brooklyn,Entire home,2.64
71435,Brooklyn,Private room,2.4
42232,Bronx,Private room,3.57
48059,Manhattan,Entire home,5.33
74607,Staten Island,Private room,5.35
54626,Bronx,Entire home,6.05
11835,Staten Island,Entire home,2.05
29905,Queens,Entire home,4.82
60942,Staten Island,Private room,5.13
65921,Staten Island,Private room,2.08
72186,Queens,Private room,2.8
6453,Bronx,Private room,4.43
86678,Brooklyn,Entire home,4.43
5224,Bronx,Entire home,5.19
16386,Brooklyn,Entire home,3.69
97680,Staten Island,Private room,5.26
57120,Brooklyn,Private room,1.4
28082,Brooklyn,Private room,1.27
79231,Staten Island,Entire home,3.19
93281,Queens,Entire home,3.96
90037,Manhattan,Entire home,9.41
99316,Bronx,Shared room,5.51
17631,Brooklyn,Entire home,4.26
94243,Queens,Private room,3.72
65154,Brooklyn,Private room,1
36221,Bronx,Entire home,8.46
13202,Bronx,Private room,5.13
37467,Queens,Entire home,1.21
97039,Manhattan,Private room,3.7
61089,Queens,Private room,4.07
57314,Brooklyn,Entire home,2.09
43318,Queens,Entire home,1.65
64614,Queens,Private room,2.28
7345,Manhattan,Entire home,5.09
17284,Brooklyn,Entire home,1.79
1088,Bronx,Entire home,4.0
86196,Queens,Entire home,3.27
36916,Manhattan,Private room,3.5
86054,Brooklyn,Entire home,6.91
82999,Queens,Private room,3.57
12953,Manhattan,Entire home,1.85
63496,Manhattan,Entire home,5.06
2217,Manhattan,Private room,6.49
16806,Bronx,Private room,2.07
12708,Manhattan,Entire home,4.75
49177,Queens,Entire home,5.11
18451,Brooklyn,Entire home,1
74831,Manhattan,Private room,4.46
28925,Brooklyn,Shared room,3.7
81750,Bronx,Private room,4.29
99624,Manhattan,Private room,3.98
51335,Queens,Shared room,2.18
37302,Manhattan,Entire home,5.76
79774,Staten Island,Private room,2.46
4515,Queens,Entire home,10.31
80551,Staten Island,Entire home,1.7
32370,Bronx,Entire home,6.77
32599,Bronx,Private room,7.28
2581,Queens,Shared room,3.86
18299,Bronx,Private room,1.77
90514,Brooklyn,Private room,2.71
10567,Manhattan,Private room,4.89
8925,Bronx,Private room,3.62
83388,Staten Island,Private room,1.7
84956,Staten Island,Private room,4.44
21012,Queens,Entire home,9.45
21365,Staten Island,Entire home,7.18
77865,Manhattan,Entire home,1
32278,Manhattan,Entire home,6.87
57948,Manhattan,Entire home,2.83
98215,Brooklyn,Entire home,3.14
93785,Brooklyn,Private room,6.05
69551,Staten Island,Private room,7.74
95472,Queens,Entire home,7.54
36227,Manhattan,Private room,5.99
4847,Queens,Private room,3.4
94365,Staten Island,Private room,4.22
66031,Bronx,Private room,7.22
22873,Queens,Entire home,6.19
14487,Staten Island,Private room,5.96
1336,Manhattan,Private room,5.68
2610,Brooklyn,Entire home,1
24456,Manhattan,Private room,6.89
94588,Bronx,Entire home,4.56
42934,Queens,Private room,7.95
75912,Queens,Entire home,4.12
30253,Staten Island,Shared room,2.06
53550,Manhattan,Private room,5.8
41723,Queens,Entire home,1.29
60866,Manhattan,Entire home,3.37
97937,Staten Island,Entire home,8.73
49270,Staten Island,Shared room,5.09
97005,Staten Island,Private room,3.45
33129,Brooklyn,Entire home,2.96
46406,Manhattan,Shared room,3.09
1191,Bronx,Private room,3.37
70443,Brooklyn,Entire home,3.34
8850,Brooklyn,Private room,7.26
69125,Bronx,Private room,5.99
49823,Bronx,Shared room,3.08
18499,Bronx,Entire home,5.07
75425,Manhattan,Entire home,6.29
35208,Queens,Shared room,2.25
52505,Queens,Entire home,4.36
27569,Brooklyn,Private room,4.28
77638,Manhattan,Entire home,5.94
54282,Manhattan,Private room,5.42
28215,Bronx,Entire home,4.38
21658,Queens,Private room,4.51
92341,Staten Island,Entire home,5.65
12955,Brooklyn,Shared room,1.35
52936,Staten Island,Entire home,3.1
23789,Manhattan,Shared room,5.15
60270,Staten Island,Private room,3.5
19322,Manhattan,Entire home,7.28
30135,Brooklyn,Entire home,1.41
85500,Manhattan,Private room,5.28
34924,Manhattan,Entire home,9.46
59121,Brooklyn,Entire home,6.63
44456,Manhattan,Entire home,3.03
