listing_id,arrondissement,room_type,stay_nights
14415,13e,Entire home,10.75
10445,4e,Private room,5.25
5984,3e,Entire home,4.03
57408,17e,Shared room,1.37
47826,19e,Entire home,5.74
4016,15e,Private room,8.09
12599,1e,Private room,7.95
34121,18e,Entire home,7.84
47719,15e,Entire home,10.06
40671,9e,Private room,8.05
11637,12e,Entire home,6.22
55576,11e,Entire home,2.13
59794,10e,Private room,1.45
25484,4e,Entire home,6.61
57747,16e,Entire home,3.84
34879,16e,Private room,1
14372,11e,Entire home,13.19
67655,17e,Private room,9.64
99813,18e,Private room,4.43
87646,13e,Private room,1
5624,1e,Private room,7.48
98768,12e,Private room,5.23
86290,11e,Entire home,3.44
55177,19e,Entire home,4.3
83974,8e,Entire home,4.65
2187,19e,Shared room,6.53
23541,2e,Entire home,11.58
16736,15e,Shared room,1
45076,9e,Entire home,7.18
12984,9e,Entire home,11.75
76150,15e,Shared room,6.58
13105,13e,Entire home,1
94855,20e,Entire home,7.95
10044,12e,Private room,2.46
89380,12e,Private room,3.34
9831,4e,Entire home,2.99
64671,14e,Entire home,6.02
83055,15e,Entire home,9.98
91562,19e,Private room,8.88
46634,11e,Private room,4.97
92418,19e,Entire home,9.67
85935,11e,Entire home,1
72677,15e,Private room,7.7
39854,17e,Entire home,6.76
27049,14e,Entire home,1
30998,8e,Entire home,5.61
64930,3e,Entire home,13.09
92271,11e,Entire home,3.68
6325,1e,Entire home,5.17
52152,19e,Private room,7.16
98077,19e,Entire home,7.04
53318,4e,Entire home,5.79
18269,2e,Private room,4.54
46667,3e,Shared room,1
33583,4e,Private room,6.17
30807,11e,Private room,1.92
98760,16e,Private room,7.4
47241,12e,Shared room,1
13113,14e,Shared room,3.74
81292,14e,Entire home,14.14
12529,20e,Private room,5.78
26820,14e,Entire home,9.82
22460,20e,Entire home,9.27
98626,6e,Entire home,8.2
32659,1e,Entire home,4.73
55549,6e,Entire home,7.71
8100,4e,Entire home,5.84
1950,10e,Entire home,5.66
84467,15e,Entire home,7.52
34456,13e,Private room,2.46
81882,19e,Entire home,13.28
51412,4e,Entire home,6.12
38401,12e,Private room,1.46
58957,17e,Private room,8.66
2845,19e,Entire home,10.19
4215,19e,Entire home,7.15
15413,6e,Entire home,4.76
60739,17e,Shared room,4.48
20727,20e,Entire home,6.95
74166,9e,Shared room,4.72
13261,6e,Private room,3.37
65011,10e,Entire home,11.37
60519,12e,Entire home,8.12
40087,3e,Shared room,3.95
91585,19e,Entire home,2.01
37550,14e,Private room,2.81
28088,1e,Entire home,7.85
81075,15e,Entire home,12.79
35594,11e,Entire home,11.28
33600,11e,Shared room,5.0
28926,9e,Entire home,2.63
55452,2e,Private room,8.31
60118,9e,Entire home,5.5
61861,14e,Entire home,5.19
26664,13e,Entire home,7.94
88289,19e,Private room,6.17
49146,13e,Entire home,7.89
16238,13e,Private room,5.18
7258,19e,Entire home,5.93
49401,5e,Private room,1
31194,10e,Entire home,9.27
48104,8e,Private room,5.95
95165,5e,Shared room,2.69
61662,2e,Entire home,15.73
62591,4e,Entire home,8.43
28685,15e,Entire home,11.33
77450,6e,Entire home,9.33
66909,4e,Entire home,6.84
95028,16e,Entire home,14.27
40038,5e,Shared room,2.99
47142,12e,Entire home,2.11
95386,15e,Entire home,8.4
17952,16e,Entire home,1
99532,13e,Entire home,6.49
54914,10e,Entire home,1.41
95623,1e,Entire home,6.93
55873,19e,Private room,3.84
23611,10e,Entire home,5.64
46271,18e,Entire home,12.79
46688,11e,Private room,7.93
90308,20e,Private room,3.43
64670,12e,Entire home,1
69789,6e,Private room,3.92
4000,2e,Entire home,3.71
19671,12e,Entire home,7.81
37608,20e,Entire home,7.25
68960,6e,Private room,3.08
77250,18e,Entire home,1
26710,10e,Entire home,5.42
10102,20e,Entire home,3.92
20390,1e,Entire home,7.76
22473,4e,Entire home,5.26
70235,2e,Entire home,8.69
15710,1e,Entire home,7.89
63014,6e,Entire home,4.69
72687,11e,Entire home,4.14
55464,8e,Private room,1
71178,6e,Private room,3.18
88190,18e,Entire home,1
46147,9e,Entire home,14.72
78716,8e,Entire home,9.56
53305,9e,Entire home,4.7
15189,5e,Private room,4.13
40400,12e,Private room,6.15
60553,19e,Private room,1.96
5470,11e,Entire home,5.07
45673,7e,Private room,6.37
86850,18e,Entire home,8.9
46303,10e,Shared room,4.81
18023,1e,Entire home,6.93
57027,11e,Entire home,4.6
29133,1e,Private room,2.54
80590,1e,Entire home,4.34
59223,1e,Entire home,1
26139,1e,Entire home,7.84
11247,7e,Entire home,4.18
37178,17e,Entire home,5.01
57472,10e,Entire home,3.99
56440,5e,Private room,2.86
61090,3e,Private room,5.78
80796,19e,Entire home,3.72
41623,2e,Entire home,11.43
31974,18e,Private room,6.1
50426,16e,Private room,6.42
68196,11e,Entire home,6.82
14801,10e,Private room,4.08
92454,16e,Private room,4.63
59669,14e,Entire home,12.22
96820,12e,Private room,2.86
18649,12e,Private room,7.27
33118,7e,Entire home,2.85
69940,17e,Entire home,3.88
54513,20e,Entire home,5.25
90557,18e,Entire home,8.92
1343,1e,Shared room,3.03
13790,18e,Entire home,8.0
37225,16e,Entire home,8.39
28905,15e,Entire home,8.36
65984,11e,Private room,4.88
11563,16e,Private room,1
82923,20e,Entire home,12.79
38580,1e,Private room,1
10255,3e,Shared room,1
61863,13e,Entire home,4.88
80231,3e,Entire home,3.89
20129,9e,Entire home,1
38349,12e,Private room,4.5
84836,17e,Entire home,11.75
90240,18e,Entire home,13.19
88322,11e,Private room,4.01
44194,2e,Entire home,7.77
60508,11e,Private room,4.11
27072,3e,Entire home,6.78
27089,16e,Private room,8.14
81143,12e,Private room,6.52
61419,20e,Private room,1
42785,11e,Entire home,6.45
95366,17e,Entire home,1
60635,16e,Private room,3.89
56170,14e,Entire home,2.49
42742,12e,Entire home,12.98
95940,4e,Entire home,1
61260,2e,Private room,4.25
34141,9e,Private room,5.72
54940,12e,Private room,3.98
33156,10e,Private room,3.39
34468,15e,Entire home,5.11
41306,13e,Entire home,4.92
52056,2e,Entire home,10.66
66374,7e,Private room,8.45
28132,3e,Private room,7.82
44158,17e,Entire home,1
23118,7e,Entire home,6.64
74069,9e,Entire home,4.58
99820,18e,Private room,3.77
69444,11e,Private room,5.29
67841,19e,Entire home,7.68
12028,19e,Entire home,3.4
27904,17e,Private room,3.56
78320,11e,Entire home,6.16
85044,14e,Entire home,5.17
71691,3e,Shared room,5.26
47069,6e,Entire home,1
99776,2e,Private room,6.33
51128,11e,Private room,9.18
77466,7e,Entire home,7.65
76924,18e,Entire home,5.83
25515,19e,Entire home,1
91409,2e,Private room,8.04
88929,9e,Private room,6.13
91313,1e,Entire home,8.21
99380,11e,Entire home,2.16
47472,5e,Private room,5.37
65941,7e,Entire home,7.5
60492,5e,Entire home,1.43
86632,9e,Private room,4.31
83932,18e,Private room,6.39
82174,2e,Entire home,5.9
51130,6e,Entire home,6.55
7038,6e,Entire home,3.95
13881,8e,Private room,5.87
97394,15e,Entire home,8.78
66050,12e,Private room,8.28
26465,14e,Private room,3.07
20060,1e,Entire home,5.77
89781,8e,Private room,1.33
78378,17e,Entire home,3.06
44952,15e,Private room,10.08
94340,19e,Entire home,5.83
22289,14e,Shared room,3.5
82133,8e,Entire home,1.73
42831,8e,Private room,5.22
67436,16e,Entire home,16.12
73237,4e,Private room,1
77757,20e,Entire home,2.79
72763,15e,Entire home,4.05
35896,15e,Shared room,4.63
64029,11e,Private room,6.56
80635,7e,Entire home,12.68
13407,6e,Private room,7.34
28050,1e,Entire home,5.02
44812,8e,Private room,6.11
49197,4e,Entire home,5.39
40338,9e,Entire home,3.29
55863,5e,Shared room,2.87
21754,13e,Entire home,7.57
38414,7e,Entire home,5.02
25448,5e,Entire home,11.6
79335,15e,Private room,7.98
72960,16e,Private room,7.63
77309,8e,Entire home,1.37
69529,15e,Entire home,9.58
84046,9e,Entire home,9.0
37206,13e,Entire home,1
20155,20e,Entire home,1
47921,13e,Private room,6.1
75205,12e,Private room,3.53
99312,19e,Entire home,9.28
61557,7e,Entire home,9.71
74850,9e,Entire home,7.03
56425,16e,Entire home,13.13
63751,16e,Entire home,8.45
70438,4e,Private room,8.76
52872,7e,Private room,7.38
40504,2e,Entire home,12.28
12514,11e,Entire home,5.69
51991,9e,Entire home,10.53
69163,4e,Entire home,4.28
4870,12e,Private room,7.68
37561,16e,Private room,4.87
82229,14e,Private room,6.31
63060,6e,Entire home,9.07
75203,18e,Entire home,5.97
94235,15e,Entire home,9.41
48873,15e,Entire home,9.64
70252,2e,Entire home,7.18
51556,1e,Private room,6.58
78668,17e,Private room,10.58
37002,3e,Shared room,3.07
17796,10e,Private room,7.6
60165,15e,Entire home,5.63
5697,1e,Private room,2.23
85673,18e,Entire home,2.76
53415,12e,Private room,2.45
67339,2e,Private room,7.2
50584,19e,Private room,4.55
76604,15e,Entire home,8.58
84326,5e,Private room,1
53611,9e,Entire home,2.67
24651,11e,Private room,1.95
19646,2e,Entire home,7.56
3993,1e,Private room,7.84
16512,8e,Private room,8.39
95753,7e,Private room,5.55
98273,7e,Entire home,2.4
32180,12e,Entire home,1
21079,5e,Private room,8.53
26048,14e,Entire home,6.12
70336,2e,Private room,7.07
61331,18e,Entire home,10.53
81714,9e,Entire home,3.51
55494,14e,Entire home,4.64
68704,8e,Entire home,1.88
74105,19e,Entire home,4.63
42761,18e,Entire home,6.15
19046,8e,Entire home,4.07
33085,19e,Entire home,10.12
57647,17e,Private room,5.38
60912,16e,Entire home,4.83
44250,17e,Private room,5.39
76269,16e,Entire home,1
36526,7e,Entire home,8.28
91012,11e,Entire home,5.08
46706,14e,Entire home,3.93
48164,7e,Private room,4.69
58348,3e,Private room,4.96
42339,1e,Private room,1
24406,19e,Shared room,3.33
98638,3e,Private room,6.65
23388,8e,Entire home,9.38
50733,12e,Entire home,5.2
44977,12e,Entire home,5.68
50008,6e,Private room,2.39
94108,19e,Private room,5.36
11315,13e,Private room,1
99353,17e,Private room,3.02
28283,9e,Private room,6.8
74420,10e,Private room,6.82
79738,8e,Private room,4.5
31279,11e,Entire home,7.27
86843,19e,Entire home,10.97
26537,17e,Entire home,12.55
10611,16e,Entire home,6.27
84504,16e,Entire home,8.55
97565,19e,Entire home,9.2
36330,11e,Entire home,8.17
87615,17e,Private room,8.53
86279,3e,Entire home,4.61
71471,20e,Entire home,4.97
80517,8e,Entire home,1
14075,10e,Private room,1.96
51416,19e,Entire home,8.97
35173,17e,Shared room,5.03
60708,2e,Private room,1
97018,18e,Private room,5.15
21498,15e,Entire home,6.24
7016,19e,Entire home,7.29
40371,5e,Entire home,8.09
21575,10e,Entire home,3.47
25502,15e,Entire home,4.93
91174,11e,Entire home,3.68
19855,18e,Entire home,4.3
99341,17e,Private room,2.81
11888,6e,Entire home,8.22
64197,11e,Entire home,3.11
38986,3e,Entire home,4.98
73649,5e,Private room,4.47
89735,11e,Entire home,3.39
36813,10e,Private room,9.24
11063,10e,Private room,6.7
75649,13e,Entire home,7.04
15082,7e,Shared room,3.6
75728,4e,Private room,1.43
11644,5e,Private room,2.95
91454,19e,Private room,1.83
28051,16e,Private room,9.83
63342,18e,Entire home,7.42
91884,19e,Shared room,2.06
40544,2e,Entire home,3.78
45086,5e,Private room,3.39
23827,12e,Entire home,5.87
63729,18e,Private room,10.12
73550,7e,Private room,6.0
66882,7e,Private room,4.86
64142,8e,Private room,4.29
54187,14e,Private room,5.32
94528,13e,Entire home,1
45433,14e,Entire home,7.65
85581,9e,Entire home,10.42
36629,15e,Private room,2.45
70720,4e,Private room,6.09
35228,19e,Entire home,3.08
87803,4e,Shared room,5.95
57034,13e,Entire home,4.32
94518,12e,Private room,5.07
60197,10e,Private room,9.7
41136,9e,Entire home,7.48
43682,13e,Private room,1
11313,6e,Entire home,11.87
40228,11e,Private room,1.65
54264,2e,Private room,5.36
25129,11e,Private room,3.53
84321,17e,Entire home,9.44
69101,4e,Private room,6.11
49216,5e,Entire home,4.2
78475,2e,Entire home,8.48
31299,3e,Entire home,5.76
13308,16e,Entire home,8.2
18337,19e,Private room,6.0
94614,12e,Entire home,8.32
17225,17e,Entire home,7.93
2884,19e,Entire home,7.91
71531,15e,Entire home,13.6
35775,9e,Entire home,10.01
53750,14e,Private room,5.91
37587,13e,Private room,3.26
11629,14e,Entire home,12.93
15443,9e,Entire home,5.05
63253,4e,Shared room,2.07
51122,18e,Entire home,10.09
7439,12e,Entire home,13.01
83451,4e,Entire home,8.43
6235,6e,Shared room,2.68
43084,2e,Entire home,12.44
73747,13e,Private room,2.36
53400,20e,Entire home,6.19
97054,6e,Entire home,9.13
87056,12e,Entire home,4.34
40647,5e,Private room,5.15
1498,3e,Entire home,6.29
14024,6e,Shared room,2.24
56032,19e,Entire home,7.27
13436,4e,Private room,5.21
90679,6e,Shared room,5.03
72166,5e,Entire home,4.35
97212,12e,Entire home,5.0
34164,14e,Entire home,8.21
18823,6e,Private room,1
92196,19e,Private room,5.93
80702,11e,Private room,8.21
56228,1e,Entire home,4.59
6625,16e,Entire home,9.4
57202,15e,Entire home,2.48
75802,1e,Private room,5.91
13481,13e,Entire home,8.62
66601,12e,Entire home,4.99
23681,15e,Private room,7.51
80633,6e,Entire home,7.73
67956,6e,Entire home,2.83
43012,12e,Private room,7.31
26087,19e,Entire home,9.15
54440,19e,Entire home,6.22
10736,8e,Entire home,3.05
70306,12e,Entire home,4.77
79780,10e,Private room,8.83
78065,4e,Private room,5.37
7561,12e,Shared room,5.15
97129,8e,Entire home,2.9
37842,17e,Entire home,10.02
96466,18e,Entire home,5.42
14367,18e,Private room,4.24
13468,5e,Entire home,8.45
36924,17e,Entire home,6.52
94335,1e,Private room,11.89
95806,7e,Private room,11.31
41233,8e,Entire home,10.32
28814,2e,Private room,4.97
22966,14e,Entire home,3.46
86121,10e,Entire home,3.62
40953,17e,Private room,2.08
69822,5e,Entire home,8.25
89131,12e,Private room,2.78
8525,8e,Entire home,11.71
63664,5e,Private room,1
94502,1e,Entire home,8.49
10543,14e,Entire home,2.22
30650,18e,Entire home,7.66
83316,9e,Private room,7.59
8251,2e,Private room,5.09
32176,6e,Entire home,4.32
58695,18e,Private room,1
45273,18e,Private room,8.02
78660,12e,Private room,7.31
68425,19e,Entire home,4.62
88996,8e,Entire home,2.76
41709,2e,Entire home,10.31
33411,12e,Entire home,3.52
53392,9e,Entire home,12.62
42762,13e,Entire home,4.87
52194,9e,Entire home,2.28
75783,1e,Entire home,7.29
72605,13e,Entire home,11.51
40315,13e,Private room,5.88
8499,20e,Entire home,6.24
35011,19e,Entire home,4.88
53991,15e,Entire home,11.41
98716,9e,Private room,6.08
13497,9e,Entire home,4.55
83149,17e,Entire home,10.76
57403,12e,Private room,1.23
19705,1e,Private room,3.69
8551,10e,Entire home,7.96
95315,6e,Entire home,7.76
65260,12e,Private room,4.61
37653,14e,Entire home,7.44
42667,18e,Entire home,2.94
64520,7e,Entire home,8.13
56811,2e,Shared room,1.93
21178,12e,Entire home,7.46
30070,18e,Shared room,1
35877,14e,Entire home,6.25
50641,3e,Private room,3.11
20765,4e,Private room,7.77
34575,11e,Private room,10.39
41921,2e,Entire home,6.77
36021,12e,Private room,6.26
79570,13e,Entire home,7.89
82182,2e,Private room,3.96
30664,20e,Entire home,19.56
44624,11e,Entire home,2.37
30756,20e,Private room,7.72
29885,7e,Private room,2.79
47193,19e,Shared room,5.38
59245,9e,Entire home,5.47
97179,4e,Entire home,2.39
78162,20e,Private room,2.88
49271,13e,Entire home,9.19
69512,11e,Shared room,4.11
13891,10e,Entire home,12.59
85132,14e,Private room,3.66
12148,13e,Private room,6.54
9123,1e,Entire home,4.1
7268,8e,Entire home,11.33
19465,9e,Entire home,5.01
81177,6e,Entire home,11.45
67114,7e,Entire home,6.9
75470,17e,Entire home,4.91
58768,3e,Private room,1.48
63459,3e,Private room,4.5
49969,3e,Shared room,1
12048,9e,Entire home,7.83
7096,20e,Private room,4.61
54166,12e,Entire home,3.68
49898,3e,Private room,5.8
83359,18e,Entire home,4.95
27240,19e,Private room,5.1
31050,11e,Entire home,8.57
29481,6e,Entire home,8.85
73441,20e,Entire home,2.73
90892,7e,Private room,2.26
14061,19e,Entire home,10.06
93091,9e,Private room,3.72
78196,20e,Entire home,4.57
20797,16e,Entire home,8.43
58290,1e,Entire home,8.07
27505,5e,Entire home,4.01
43342,7e,Entire home,5.55
15226,5e,Private room,2.42
16475,20e,Entire home,8.12
9702,19e,Entire home,1
10662,7e,Entire home,1.78
54755,19e,Private room,4.99
45287,6e,Entire home,7.34
64029,11e,Entire home,2.49
75615,20e,Private room,1
85831,6e,Entire home,3.63
41286,10e,Entire home,3.8
27421,16e,Entire home,6.64
64118,4e,Entire home,13.71
14892,5e,Entire home,12.49
24049,19e,Entire home,7.1
4736,17e,Entire home,6.97
90122,10e,Private room,1
8019,18e,Entire home,10.68
22587,16e,Entire home,9.9
46038,18e,Entire home,2.27
83294,20e,Entire home,5.76
46332,10e,Private room,8.98
50494,14e,Entire home,6.74
33531,1e,Entire home,3.55
43140,15e,Entire home,1.15
95525,4e,Private room,4.35
32703,14e,Private room,8.18
80928,8e,Private room,1
29165,9e,Private room,6.81
69243,9e,Private room,2.59
8669,8e,Private room,1.18
87494,9e,Entire home,6.77
7444,11e,Private room,6.79
24766,2e,Private room,3.55
88220,13e,Entire home,1.43
9683,9e,Entire home,9.34
81906,10e,Entire home,3.18
15771,17e,Entire home,4.9
93511,3e,Entire home,3.99
81047,13e,Entire home,7.34
57522,5e,Entire home,3.56
69296,16e,Entire home,2.28
71272,16e,Entire home,15.02
26473,20e,Shared room,6.67
77646,12e,Private room,4.78
15108,14e,Entire home,9.21
5855,2e,Private room,7.08
6646,16e,Shared room,3.38
82057,14e,Shared room,6.43
36597,10e,Entire home,3.97
2641,5e,Entire home,3.15
88721,15e,Private room,3.53
33720,3e,Entire home,9.46
25217,16e,Private room,4.61
8131,19e,Entire home,10.51
56030,2e,Shared room,2.5
46998,4e,Entire home,6.84
1125,8e,Entire home,3.22
41488,7e,Entire home,1.74
58737,5e,Entire home,7.66
51696,6e,Entire home,4.09
62090,19e,Private room,2.94
1960,15e,Entire home,1.02
88474,2e,Entire home,5.77
32825,9e,Entire home,11.26
73140,18e,Entire home,9.68
52039,4e,Entire home,5.99
85436,17e,Entire home,3.76
88117,17e,Shared room,1.79
76628,19e,Entire home,1
19544,4e,Private room,11.59
36205,4e,Entire home,6.93
4175,10e,Private room,7.08
91572,18e,Entire home,4.47
26853,11e,Private room,3.79
52960,15e,Shared room,5.28
63162,12e,Entire home,10.06
41525,6e,Entire home,6.49
87710,3e,Entire home,4.24
12219,12e,Private room,7.69
32407,12e,Entire home,3.78
24491,3e,Entire home,4.9
69688,15e,Entire home,1
18840,15e,Entire home,10.75
73054,18e,Private room,3.51
93881,10e,Entire home,15.62
89281,4e,Entire home,9.31
22972,16e,Entire home,7.35
74615,11e,Entire home,1.91
35856,5e,Private room,5.45
60211,14e,Entire home,3.76
20609,5e,Entire home,4.39
98955,7e,Entire home,5.8
92860,19e,Entire home,12.04
96193,15e,Entire home,6.66
76788,16e,Entire home,7.03
76350,20e,Private room,1
31335,18e,Entire home,4.73
21227,6e,Entire home,3.93
51649,17e,Private room,7.64
58294,15e,Private room,1
36607,9e,Entire home,3.05
57959,17e,Entire home,3.6
29766,8e,Private room,5.81
47657,9e,Private room,4.32
85772,14e,Private room,5.53
17440,10e,Private room,5.04
84538,8e,Entire home,7.46
66270,7e,Private room,7.73
72007,15e,Private room,3.67
47714,6e,Entire home,7.95
95620,1e,Entire home,7.28
53975,5e,Entire home,9.25
66636,5e,Private room,6.79
13625,12e,Entire home,5.32
27178,10e,Entire home,10.04
13843,9e,Entire home,4.99
14864,9e,Entire home,3.58
28607,10e,Private room,6.62
8286,9e,Private room,1.56
59188,3e,Private room,7.29
12831,5e,Private room,3.96
17600,8e,Entire home,3.25
11008,8e,Private room,1.47
10006,1e,Private room,6.37
53078,1e,Private room,8.82
56255,15e,Private room,3.82
34188,18e,Private room,4.45
35429,5e,Private room,3.44
5426,20e,Entire home,1.36
40978,6e,Entire home,6.21
89640,5e,Shared room,1.45
28960,15e,Entire home,7.23
86143,15e,Entire home,5.01
36737,6e,Entire home,6.22
99100,5e,Entire home,12.77
68702,6e,Private room,2.18
77735,9e,Private room,4.54
87632,9e,Private room,4.15
27920,14e,Entire home,6.8
42378,19e,Entire home,2.76
21891,1e,Private room,2.89
82060,9e,Private room,2.91
39991,3e,Entire home,11.66
42150,16e,Entire home,11.31
33893,8e,Entire home,11.01
99285,13e,Private room,2.93
49252,6e,Shared room,2.58
35656,4e,Private room,4.6
90815,19e,Entire home,5.53
26053,12e,Private room,4.78
23289,6e,Entire home,5.03
36741,11e,Shared room,3.73
34660,10e,Entire home,9.79
7031,2e,Entire home,10.39
39410,19e,Entire home,3.83
81996,18e,Entire home,4.91
63143,12e,Private room,8.33
96648,18e,Private room,1.18
87331,20e,Entire home,9.33
47753,19e,Entire home,4.63
28810,13e,Entire home,3.66
14087,5e,Entire home,13.94
4278,20e,Private room,3.94
43322,2e,Private room,8.75
71641,5e,Private room,6.56
95627,7e,Entire home,1.01
8732,16e,Private room,1
72039,11e,Private room,3.48
39374,3e,Entire home,10.87
6103,12e,Entire home,3.18
24034,4e,Private room,4.57
43671,1e,Entire home,5.78
98582,6e,Entire home,1
74740,11e,Private room,3.32
14189,7e,Entire home,2.95
64070,16e,Entire home,9.84
16383,6e,Entire home,6.35
36032,17e,Entire home,7.17
89296,12e,Entire home,5.23
72783,18e,Entire home,9.41
1908,3e,Private room,1
68191,9e,Private room,1.65
37528,13e,Entire home,5.88
45839,18e,Entire home,2.68
11855,3e,Private room,4.66
79271,17e,Entire home,1
98498,6e,Private room,5.46
27873,12e,Entire home,4.86
31132,8e,Shared room,3.29
52604,11e,Private room,5.18
61878,1e,Private room,3.94
70565,16e,Private room,6.58
72016,1e,Entire home,1.98
76695,12e,Entire home,4.97
44767,16e,Private room,6.04
72898,11e,Entire home,8.19
30898,12e,Private room,7.73
82080,20e,Private room,5.38
85023,9e,Shared room,5.9
52212,16e,Entire home,7.3
12441,9e,Private room,7.47
53474,9e,Entire home,9.07
17248,13e,Entire home,10.56
32777,18e,Entire home,12.68
99081,15e,Shared room,4.8
4474,13e,Entire home,5.73
13614,3e,Private room,10.68
94599,16e,Entire home,5.07
47767,11e,Private room,5.71
70899,8e,Private room,4.59
25983,16e,Entire home,12.13
55430,13e,Shared room,2.01
50914,13e,Entire home,1
83386,5e,Private room,8.29
68919,15e,Entire home,4.72
17200,5e,Private room,5.96
68595,13e,Entire home,5.52
53232,15e,Private room,1
6517,11e,Entire home,5.46
34785,1e,Entire home,6.41
27573,17e,Entire home,9.17
23685,7e,Private room,5.04
54875,3e,Private room,4.94
88866,14e,Entire home,9.21
83278,11e,Private room,1
99502,17e,Private room,5.69
74497,13e,Private room,2.96
70951,3e,Entire home,2.53
27436,2e,Shared room,4.39
85558,6e,Entire home,4.6
1568,11e,Entire home,10.96
44668,4e,Entire home,1.75
15397,8e,Entire home,9.3
40350,14e,Private room,4.86
74377,11e,Private room,1.11
34090,2e,Private room,4.15
70580,9e,Private room,5.58
86888,13e,Entire home,8.73
77191,6e,Private room,5.9
36650,14e,Private room,3.64
47771,16e,Entire home,9.77
35542,11e,Entire home,8.81
39934,4e,Entire home,8.62
58720,5e,Entire home,8.53
37339,15e,Entire home,2.7
52421,6e,Entire home,1.84
54281,12e,Entire home,3.9
32531,20e,Entire home,2.7
6830,1e,Private room,8.25
68675,3e,Shared room,3.0
57174,4e,Private room,6.56
80055,7e,Entire home,1
1580,18e,Entire home,11.66
80198,5e,Private room,3.25
97833,9e,Entire home,1
85058,12e,Private room,7.22
80074,19e,Private room,1
13871,3e,Private room,6.87
1072,19e,Entire home,2.49
63878,1e,Private room,6.18
48876,11e,Shared room,5.26
83891,3e,Private room,9.11
75250,12e,Entire home,10.62
99234,5e,Shared room,8.19
70585,16e,Shared room,1.39
96816,10e,Entire home,5.55
2673,16e,Entire home,9.1
98996,17e,Entire home,5.82
67206,19e,Entire home,8.47
38493,13e,Entire home,6.68
70068,6e,Private room,6.09
39986,18e,Entire home,2.44
66310,6e,Private room,2.48
44661,15e,Private room,5.65
47704,2e,Entire home,6.12
2117,4e,Entire home,7.82
60227,9e,Entire home,7.77
23296,9e,Entire home,6.06
8570,5e,Entire home,2.21
2056,3e,Entire home,9.08
99731,15e,Private room,5.69
53854,12e,Private room,3.98
53294,13e,Entire home,7.4
45109,9e,Entire home,9.93
63967,20e,Private room,1.3
54668,14e,Entire home,10.53
6770,16e,Private room,7.82
61967,5e,Entire home,7.79
46200,19e,Entire home,3.49
86383,11e,Entire home,11.71
80180,2e,Entire home,13.78
7931,10e,Entire home,5.98
66308,18e,Entire home,3.25
54221,8e,Entire home,8.84
88857,14e,Entire home,11.02
29638,13e,Entire home,4.15
89786,15e,Private room,5.25
40737,7e,Entire home,2.66
71955,17e,Private room,7.99
48788,9e,Private room,5.64
77099,18e,Private room,9.61
11771,7e,Entire home,9.92
80926,6e,Entire home,5.04
14003,20e,Private room,7.82
